employee_id,department,salary,years_experience,performance_rating,training_hours,remote_work_days,education_level,age,job_satisfaction
42,Engineering,81335,1,4.6,15,4,High School,40,2.5
43,HR,90647,1,4.1,19,4,Master,32,4.2
44,Sales,106524,5,4.0,14,4,Master,40,2.3
45,Sales,105613,0,4.4,16,4,Bachelor,28,3.8
46,Sales,51438,4,3.1,23,0,High School,31,2.1
47,Sales,66626,1,4.3,19,1,Bachelor,32,2.2
48,Finance,82139,7,4.3,19,4,Bachelor,35,3.0
49,HR,52153,2,4.6,24,5,Bachelor,44,3.3
50,HR,86494,1,4.7,13,1,Bachelor,22,2.8
51,Finance,94713,5,3.6,16,0,High School,27,4.2
52,Finance,85746,1,3.5,18,5,Bachelor,30,4.8
53,HR,100130,3,2.3,26,4,Bachelor,28,4.0
54,Sales,65673,2,3.5,19,0,Master,34,3.2
55,Engineering,85084,5,4.7,21,3,Master,26,3.0
56,Finance,82320,0,3.1,25,1,Bachelor,33,2.9
57,HR,92045,1,4.6,26,2,PhD,22,4.6
58,Marketing,94622,6,3.6,17,4,Bachelor,37,3.1
59,HR,94238,3,4.2,18,3,Bachelor,34,4.4
60,Sales,76001,2,4.4,26,3,Master,33,5.0
61,Marketing,69669,3,4.3,21,0,Master,36,4.6
62,Sales,61780,1,4.1,25,3,Bachelor,22,4.3
63,Finance,100566,1,4.2,14,2,High School,29,4.1
64,Engineering,53640,1,5.0,20,3,Master,42,3.1
65,Marketing,75042,7,4.7,25,2,Master,41,2.7
66,Finance,112082,17,4.4,19,0,Master,42,3.6
67,Sales,105931,6,3.9,20,3,Master,35,2.9
68,Marketing,83498,4,3.8,21,1,Master,23,5.0
69,Marketing,101246,6,3.6,20,1,Bachelor,22,4.5
70,HR,95086,0,3.2,18,0,Master,32,4.8
71,Finance,91131,2,4.3,29,4,Bachelor,30,3.9
72,Marketing,92496,3,3.8,19,3,Bachelor,22,3.3
73,Engineering,78684,0,4.0,18,0,Master,44,3.9
74,Engineering,111523,4,4.5,16,5,Bachelor,38,5.0
75,HR,108615,0,4.2,13,3,PhD,29,4.5
76,Marketing,100177,1,3.2,15,2,Master,26,3.3
77,HR,103738,3,4.5,18,2,Bachelor,30,5.0
78,HR,101885,0,3.0,18,2,Master,35,5.0
79,HR,115268,3,4.8,19,3,Master,39,4.7
80,Marketing,65958,0,3.9,21,0,Bachelor,34,3.3
81,Marketing,96347,4,3.9,22,3,Bachelor,40,3.4
82,Sales,59772,1,3.4,24,3,Bachelor,48,3.9
83,HR,109486,6,3.7,14,4,Master,26,4.5
84,HR,66444,0,4.4,14,2,Bachelor,36,4.5
85,HR,64548,0,5.0,23,3,Bachelor,36,1.9
86,HR,131860,0,4.2,17,3,Master,35,2.9
87,Engineering,89186,0,4.6,10,1,Master,28,4.5
88,Marketing,83080,0,4.2,17,3,Bachelor,22,5.0
89,HR,117801,5,2.9,18,4,Master,22,2.8
90,Marketing,83954,2,3.7,16,4,Master,29,3.3
91,Finance,73064,1,4.8,16,3,High School,25,3.9
92,HR,99850,3,3.4,13,4,Bachelor,27,2.2
93,Marketing,115329,6,4.5,13,5,Bachelor,31,4.5
94,Sales,65605,6,4.6,21,2,Bachelor,44,4.1
95,HR,90055,0,4.0,21,3,Bachelor,37,3.1
96,Finance,96145,2,3.5,27,3,Master,35,5.0
97,HR,105231,8,4.0,15,2,High School,36,5.0
98,Marketing,88224,0,4.2,17,4,Master,32,4.7
99,Engineering,89999,0,4.6,18,3,Bachelor,43,2.2
100,Engineering,80158,8,4.1,22,4,Master,24,3.8
101,HR,87882,3,4.2,21,4,Bachelor,51,4.4
102,Engineering,71198,4,3.2,20,3,Master,28,3.4
103,Marketing,97915,1,4.2,20,4,Bachelor,39,3.5
104,Marketing,81583,1,4.1,20,1,Master,43,5.0
105,Engineering,61682,5,4.2,13,5,Bachelor,36,4.7
106,HR,69747,0,3.2,25,3,Master,46,4.3
107,Marketing,84139,4,5.0,18,2,Bachelor,22,4.2
108,HR,94980,1,2.8,18,2,Bachelor,28,3.6
109,Finance,101555,2,4.2,19,2,High School,22,3.3
110,Finance,68377,1,3.4,13,3,Bachelor,43,2.6
111,Marketing,75553,0,3.7,17,3,Bachelor,36,3.7
112,Finance,108229,3,3.9,21,2,Master,38,5.0
113,Finance,76453,1,3.7,24,2,Master,33,5.0
114,HR,73749,2,2.9,21,3,Bachelor,22,4.4
115,Finance,64181,0,4.8,21,3,High School,35,3.7
116,HR,94221,0,2.9,18,1,Bachelor,30,4.6
117,Engineering,84829,4,3.9,14,3,Master,37,3.4
118,Finance,97716,0,3.9,18,5,Bachelor,49,3.3
119,Finance,116534,5,5.0,19,5,Bachelor,34,4.1
120,Finance,94194,6,2.8,27,5,Bachelor,35,3.7
121,Finance,99878,0,2.7,16,2,Bachelor,30,2.1
122,Engineering,81178,1,2.5,8,1,Master,28,4.2
123,Engineering,111360,2,5.0,24,2,Bachelor,22,4.9
124,Marketing,91819,0,3.8,19,4,Bachelor,34,3.2
125,Engineering,62748,0,4.6,15,2,Bachelor,36,4.7
126,Engineering,82488,2,3.9,14,3,Master,36,4.3
127,Finance,62088,2,4.1,11,3,Master,36,3.2
128,Sales,94206,0,3.8,22,0,Bachelor,30,3.3
129,Sales,74463,0,3.8,22,5,Bachelor,22,3.6
130,Engineering,113208,6,4.6,26,0,Bachelor,39,5.0
131,Marketing,92562,0,4.6,26,0,High School,24,4.0
132,Engineering,101124,1,4.3,22,3,Bachelor,46,3.9
133,Sales,91267,1,4.0,15,2,Bachelor,29,4.1
134,Finance,103839,2,4.3,24,3,PhD,29,5.0
135,Finance,97277,0,4.4,23,3,Master,38,4.5
136,Marketing,108073,4,3.5,21,3,Bachelor,39,2.9
137,Sales,116133,1,3.3,19,2,Bachelor,31,3.9
138,HR,116151,0,4.9,18,2,PhD,31,4.1
139,Marketing,105966,5,3.9,17,4,Bachelor,22,4.2
140,Finance,110371,1,3.2,16,3,Bachelor,23,4.4
141,HR,49605,0,4.8,14,4,Master,22,3.6
142,Marketing,74852,1,4.4,23,3,Master,43,4.2
143,Marketing,89383,3,3.9,22,2,Bachelor,26,3.4
144,Engineering,63815,1,4.6,20,5,Bachelor,32,4.4
145,Marketing,112818,13,4.0,22,5,PhD,40,4.9
146,HR,77009,2,3.6,23,4,High School,29,3.2
147,Marketing,110396,1,4.0,23,3,Master,46,4.5
148,Engineering,85244,6,4.6,15,2,Bachelor,33,4.8
149,Marketing,118427,4,4.8,20,2,PhD,41,2.8
150,Sales,133458,1,3.1,19,3,PhD,49,5.0
151,Sales,60010,0,4.3,21,4,Master,37,4.1
152,Sales,92794,3,5.0,22,5,Bachelor,41,3.3
153,Marketing,87300,1,4.4,24,3,High School,36,2.7
154,HR,83478,0,4.6,24,3,PhD,35,3.4
155,Sales,77040,0,3.8,20,3,Master,41,3.3
156,HR,120818,13,3.3,18,3,Bachelor,41,5.0
157,Marketing,77469,0,4.2,27,2,Master,31,3.9
158,Marketing,72819,1,4.3,14,4,Bachelor,24,3.6
159,HR,123761,3,3.7,10,4,Bachelor,29,3.0
160,HR,127235,4,3.9,26,3,Bachelor,39,3.4
161,Sales,84091,9,3.3,23,3,Bachelor,22,5.0
162,Finance,81391,1,4.2,29,4,Bachelor,29,3.6
163,Engineering,86924,11,5.0,23,4,Bachelor,29,5.0
164,HR,97731,0,4.4,22,4,Master,25,3.3
165,Sales,144395,1,4.5,18,4,Master,26,3.0
166,HR,103440,0,4.2,18,5,Master,33,4.2
167,Sales,61400,0,3.5,26,1,Master,36,4.7
168,Sales,102675,0,5.0,19,5,Master,23,1.6
169,HR,110284,0,3.5,24,2,Bachelor,37,3.2
170,Marketing,55451,4,2.8,22,3,Bachelor,34,2.1
171,HR,62558,4,3.8,20,5,Master,35,3.6
172,Marketing,61909,0,3.1,20,1,Master,25,5.0
173,HR,77319,3,4.0,26,3,Bachelor,33,3.2
174,HR,78663,0,2.4,21,4,Master,37,3.2
175,HR,71030,2,4.2,17,4,Bachelor,23,3.8
176,HR,81831,0,5.0,22,3,Master,34,4.4
177,Engineering,86008,3,3.7,10,0,Bachelor,34,2.7
178,Engineering,97976,2,4.6,15,2,High School,22,4.4
179,Finance,82094,7,3.9,17,3,High School,46,5.0
180,Finance,117552,4,4.4,14,2,Bachelor,24,4.1
181,Engineering,71225,3,4.1,27,0,High School,43,4.3
182,Engineering,54160,1,4.2,18,3,Bachelor,30,2.9
183,Finance,133307,8,3.0,26,2,Bachelor,43,1.2
184,Marketing,106587,2,4.5,18,1,Bachelor,45,5.0
185,Sales,53199,3,3.1,10,5,Bachelor,39,5.0
186,Marketing,65370,0,4.4,16,1,Bachelor,25,4.1
187,Finance,102105,2,4.2,21,4,Bachelor,35,4.9
188,Marketing,120590,3,3.3,18,4,Master,30,4.3
189,HR,109146,1,3.6,21,4,Bachelor,40,4.4
190,Finance,88012,0,4.9,20,3,Master,34,3.7
191,Sales,103195,2,3.6,23,0,PhD,43,4.7
192,Sales,105736,7,4.0,20,0,Bachelor,40,4.4
193,Finance,100908,1,4.4,21,2,Bachelor,24,4.9
194,HR,55272,1,2.5,19,3,Master,29,3.3
195,Engineering,90531,5,3.6,19,5,Bachelor,35,4.1
196,HR,88073,2,4.6,17,0,Master,31,5.0
197,HR,107355,5,3.8,23,5,Master,35,4.4
198,Sales,91707,0,4.6,16,1,Bachelor,32,4.3
199,Marketing,68546,2,3.8,25,0,Master,22,5.0
200,Marketing,87879,1,4.5,20,3,Master,25,3.9
201,Marketing,107295,4,4.4,23,2,Bachelor,31,2.5
202,Sales,80543,1,4.3,14,3,PhD,22,4.2
203,Sales,90801,1,4.6,16,4,Bachelor,39,5.0
204,Sales,120648,1,3.3,18,3,Master,40,3.2
205,Engineering,106604,2,2.3,20,3,Master,28,3.2
206,Engineering,40000,0,4.6,22,2,High School,31,3.8
207,Marketing,103053,7,4.6,20,5,Bachelor,37,2.4
208,HR,73188,1,4.9,24,3,Master,37,3.5
209,HR,82361,3,3.2,18,2,Master,41,3.4
210,HR,61529,0,3.1,16,2,Bachelor,26,4.3
211,Marketing,118042,0,4.6,26,0,PhD,38,3.6
212,HR,75469,0,4.5,13,3,Bachelor,41,4.1
213,Marketing,70466,0,4.3,18,3,Bachelor,25,2.8
214,Sales,72185,6,4.7,19,3,Bachelor,32,3.5
215,Finance,87936,1,3.8,26,3,Bachelor,28,3.6
216,Marketing,111018,0,3.7,27,4,Bachelor,24,4.3
217,Engineering,49622,0,3.9,18,2,Bachelor,41,4.5
218,Marketing,54287,5,4.2,26,2,Bachelor,49,2.8
219,Finance,115153,0,3.3,18,4,Bachelor,25,2.4
220,Sales,78623,0,4.7,21,2,Master,41,2.3
221,Engineering,60285,0,4.0,21,4,High School,42,4.8
222,Marketing,92658,4,3.9,22,2,Bachelor,22,3.5
223,Sales,82918,0,2.5,28,3,Bachelor,32,5.0
224,Finance,116964,2,4.6,18,2,Bachelor,22,5.0
225,Finance,117923,3,3.8,23,3,Master,22,4.2
226,Finance,136454,0,3.0,15,3,PhD,24,2.8
227,HR,84389,1,5.0,20,4,Master,22,3.6
228,HR,107533,6,4.2,24,4,Master,33,2.5
229,Marketing,105234,1,3.8,25,3,Bachelor,30,3.2
230,Finance,58645,2,4.6,28,3,Bachelor,22,3.7
231,Engineering,77619,4,3.6,18,4,Bachelor,35,3.0
232,Finance,110508,12,3.0,22,5,Master,22,4.2
233,Engineering,106861,0,4.5,17,0,Bachelor,41,3.9
234,Engineering,61000,0,5.0,22,5,Bachelor,25,3.7
235,Engineering,109048,1,3.8,14,3,Bachelor,22,3.1
236,Marketing,103549,2,3.5,20,1,High School,40,3.1
237,Engineering,103559,7,4.3,15,3,Master,24,1.9
238,Finance,97699,0,4.1,27,3,Bachelor,34,4.2
239,HR,126823,1,5.0,29,4,Master,22,4.3
240,Sales,50508,2,4.8,21,3,Bachelor,37,4.8
241,Finance,50540,2,3.5,16,5,High School,42,5.0
242,Engineering,104476,4,3.6,16,0,Master,35,4.1
243,Marketing,110387,0,4.4,10,3,Master,32,5.0
244,Sales,91817,4,5.0,17,2,Bachelor,22,4.5
245,Sales,71330,1,3.9,14,2,Master,39,5.0
246,Sales,101420,5,4.4,22,4,Bachelor,37,2.1
247,Sales,55136,2,3.4,20,4,Bachelor,38,3.4
248,HR,73077,0,2.4,19,2,Master,31,3.9
249,Sales,100181,0,5.0,27,2,Bachelor,32,2.6
250,Marketing,78185,2,5.0,18,2,Master,32,2.3
251,Engineering,45349,0,4.6,18,3,Bachelor,33,4.1
252,Finance,77500,3,3.8,18,2,Bachelor,24,2.1
253,Marketing,108466,1,4.5,22,3,High School,30,5.0
254,Marketing,88329,0,3.4,17,0,Master,25,3.9
255,Sales,100237,8,5.0,17,4,Master,37,3.3
256,Engineering,93276,0,4.0,20,5,Bachelor,39,4.1
257,HR,46287,0,3.8,15,3,Bachelor,39,5.0
258,Marketing,114801,1,4.9,23,4,Master,33,5.0
259,HR,49581,1,3.4,15,3,Bachelor,47,3.0
260,HR,74340,1,4.8,23,4,Master,24,2.7
261,HR,123733,5,4.4,24,0,Master,34,4.1
262,Marketing,115282,10,4.1,25,2,High School,30,4.1
263,Marketing,78231,0,4.3,21,3,Master,30,2.8
264,Marketing,93464,2,3.8,26,2,Bachelor,22,3.5
265,HR,92340,3,4.1,17,3,Master,24,3.9
266,Marketing,49987,0,5.0,24,3,Master,32,3.3
267,Marketing,80356,4,3.9,19,3,Master,37,5.0
268,Sales,77506,1,4.2,15,5,Master,36,2.6
269,Marketing,111687,3,4.1,22,4,Master,23,3.4
270,Engineering,83853,3,4.7,21,4,Master,36,5.0
271,Engineering,93002,0,4.0,17,2,Bachelor,22,2.3
272,Finance,72820,4,3.6,17,1,PhD,41,3.8
273,Sales,64641,0,3.4,15,0,Bachelor,27,3.4
274,HR,99312,5,3.3,20,3,Master,25,5.0
275,Engineering,69873,3,3.9,17,3,Master,27,4.1
276,Finance,120576,4,2.6,22,2,Bachelor,37,4.0
277,Sales,132826,7,3.2,23,2,Master,22,3.9
278,Sales,87044,1,5.0,18,3,Bachelor,39,3.8
279,Marketing,87778,0,2.3,17,3,Master,27,4.0
280,Engineering,70835,0,3.5,21,3,Bachelor,44,3.0
281,Engineering,84679,0,3.6,15,3,Master,29,3.7
282,Sales,72446,1,5.0,19,1,Bachelor,32,3.7
283,Finance,82378,4,3.1,20,0,Bachelor,32,5.0
284,Marketing,95200,3,4.3,24,3,Bachelor,22,3.9
285,Marketing,89543,6,3.8,19,2,Bachelor,22,4.5
286,HR,94368,3,3.9,17,4,Bachelor,27,2.5
287,Sales,78104,4,3.7,18,3,Master,41,3.1
288,Finance,71658,3,3.3,16,0,Bachelor,34,4.8
289,Sales,98606,3,4.7,22,4,Master,33,4.2
290,Marketing,87286,2,4.5,22,3,Master,35,3.4
291,Engineering,102459,9,4.5,19,5,Bachelor,29,4.2
292,HR,81580,1,4.2,21,2,Master,22,3.2
293,Marketing,121012,3,4.6,18,4,Bachelor,27,4.2
294,HR,85025,0,3.7,21,5,Bachelor,25,3.0
295,Engineering,89289,1,4.2,21,3,High School,23,3.6
296,Engineering,58391,0,4.8,28,4,Bachelor,40,4.9
297,Marketing,52046,1,4.9,14,0,Master,38,4.0
298,Finance,103297,0,3.6,17,1,Bachelor,33,3.2
299,HR,87176,0,2.9,18,0,High School,34,5.0
300,Sales,79380,1,3.8,24,4,Bachelor,35,4.0
301,Sales,90999,1,3.9,19,3,High School,27,4.1
302,Engineering,131292,0,3.5,24,0,Master,26,4.9
303,Sales,98909,1,4.6,21,4,Master,23,2.0
304,HR,118987,8,3.2,22,3,Master,37,5.0
305,Sales,54661,3,4.5,29,3,Bachelor,25,5.0
306,Engineering,127849,4,3.6,20,2,Master,50,4.0
307,Sales,68193,1,2.8,17,3,High School,22,3.6
308,Marketing,92926,3,4.4,18,2,Bachelor,26,4.1
309,Engineering,70885,3,4.9,16,2,Bachelor,38,4.9
310,HR,62689,1,4.2,15,5,Master,27,3.5
311,Marketing,95702,3,2.4,24,2,Master,35,3.1
312,HR,87816,1,5.0,18,2,Master,29,3.7
313,Engineering,87471,2,3.6,25,3,Master,40,5.0
314,Sales,79772,1,4.5,26,2,Bachelor,22,4.7
315,HR,95708,8,4.0,30,0,Bachelor,25,4.4
316,HR,124586,14,5.0,16,2,Bachelor,35,3.3
317,Finance,70136,0,4.1,20,3,Bachelor,35,3.1
318,Engineering,118724,2,3.7,14,3,Master,33,3.4
319,Engineering,45444,1,2.9,14,3,Bachelor,36,5.0
320,Engineering,96400,0,3.9,23,3,High School,24,3.7
321,HR,91089,2,2.1,15,0,Bachelor,38,3.1
322,Marketing,73660,1,4.4,25,4,Bachelor,22,4.5
323,Engineering,51131,3,4.8,19,1,Bachelor,22,4.1
324,Sales,65793,3,3.3,26,4,Master,25,4.4
325,Marketing,49597,0,4.2,20,0,High School,26,4.6
326,HR,102329,0,4.1,18,3,High School,38,4.1
327,Engineering,121267,0,4.7,19,3,Master,36,2.5
328,Finance,69979,0,3.2,22,5,Bachelor,40,4.2
329,Engineering,61716,2,4.1,26,3,Master,32,3.7
330,Finance,75541,2,4.3,25,2,Master,30,3.2
331,Marketing,71879,0,3.4,22,2,Bachelor,22,2.9
332,HR,85986,3,5.0,19,3,Bachelor,29,5.0
333,Marketing,98301,6,4.3,14,3,Bachelor,22,2.6
334,Engineering,141046,10,4.6,22,4,Bachelor,34,2.3
335,Engineering,116828,0,3.3,18,3,Master,45,3.5
336,Marketing,122829,4,3.8,11,5,Master,42,2.5
337,Finance,49529,2,4.6,20,0,Bachelor,35,5.0
338,Marketing,62815,0,4.0,20,3,PhD,29,2.8
339,Finance,94105,0,3.8,29,2,Bachelor,31,2.2
340,HR,66275,1,2.6,17,1,Master,43,2.2
341,Finance,81100,1,3.6,25,2,High School,28,2.0
342,Engineering,94175,8,4.3,16,2,Master,36,3.6
343,Engineering,115464,1,4.1,19,4,Bachelor,25,3.4
344,Finance,112024,15,3.8,15,3,High School,33,3.7
345,Engineering,97276,7,4.0,22,3,Bachelor,22,4.5
346,HR,70842,1,4.9,14,3,High School,33,2.7
347,Marketing,98424,0,5.0,22,4,Master,40,3.0
348,Finance,63219,4,5.0,21,3,Master,23,4.7
349,Sales,140627,4,3.6,18,0,Master,22,3.2
350,Engineering,107816,0,4.7,15,3,Master,33,3.6
351,Engineering,79106,1,3.9,17,3,Master,32,4.0
352,Marketing,102879,5,3.1,25,3,Bachelor,43,3.3
353,Marketing,63415,3,4.3,19,5,Master,37,3.8
354,Finance,74253,2,4.2,23,2,Bachelor,35,4.8
355,Sales,98464,0,4.7,23,5,Bachelor,29,5.0
356,HR,83432,10,4.0,20,0,Master,30,3.3
357,Sales,75259,4,2.7,22,4,Bachelor,37,3.6
358,Sales,60344,0,3.6,23,3,Bachelor,24,2.1
359,Sales,101115,1,4.2,13,4,Master,22,3.7
360,HR,92409,0,2.0,21,2,Bachelor,32,4.9
361,Marketing,102590,4,4.5,22,5,Bachelor,26,5.0
362,HR,90051,4,3.1,13,1,Bachelor,40,3.2
363,Marketing,89931,4,4.3,14,3,Bachelor,32,5.0
364,HR,97247,0,4.3,24,5,Bachelor,34,5.0
365,Sales,81556,0,4.4,21,3,Master,31,3.4
366,HR,109271,1,4.5,18,3,PhD,22,3.1
367,Marketing,72978,1,3.2,26,3,Bachelor,32,3.9
368,Marketing,68037,4,4.5,13,3,Bachelor,29,1.6
369,Engineering,140129,3,3.1,19,4,PhD,34,3.4
370,Engineering,117130,3,4.3,17,3,Master,37,5.0
371,Sales,116765,4,5.0,22,5,Master,32,4.9
372,HR,85909,4,4.8,14,3,Bachelor,34,4.4
373,Sales,69603,0,3.5,16,2,Bachelor,48,3.6
374,Marketing,59977,2,4.2,16,3,High School,37,3.9
375,HR,86341,2,4.6,22,0,Bachelor,35,4.3
376,Sales,81355,1,3.5,11,1,High School,25,3.5
377,Sales,108675,2,3.3,13,2,Master,33,3.0
378,Marketing,83985,0,3.8,23,4,Bachelor,25,4.2
379,Marketing,92620,7,4.4,30,1,Bachelor,22,4.0
380,Sales,110453,2,3.7,21,3,Master,33,4.1
381,Finance,116730,12,4.2,25,5,Bachelor,30,4.8
382,Finance,104198,6,2.8,16,4,Bachelor,38,5.0
383,Sales,85562,1,4.6,12,3,High School,40,4.1
384,HR,81881,0,4.1,25,4,High School,35,4.2
385,Finance,113671,10,3.5,17,1,High School,35,3.4
386,Engineering,121920,1,4.2,22,3,Master,47,5.0
387,Sales,78391,7,3.5,13,2,Master,30,2.1
388,Engineering,91363,5,3.6,20,5,Master,34,3.2
389,Sales,55816,2,3.7,19,2,Bachelor,33,4.7
390,Finance,86258,1,3.7,13,3,Master,30,4.6
391,HR,53639,4,4.8,22,2,Bachelor,34,3.6
392,HR,86456,2,4.9,15,4,Bachelor,32,3.1
393,Engineering,66031,2,3.8,29,5,Bachelor,47,2.6
394,Engineering,74504,1,5.0,24,3,Bachelor,36,4.0
395,Sales,88757,0,3.4,10,4,Bachelor,31,3.1
396,Engineering,96265,1,3.5,18,2,Master,31,2.2
397,Engineering,44797,0,4.5,22,2,Bachelor,22,5.0
398,Finance,60819,0,4.3,28,1,Bachelor,28,5.0
399,HR,61117,2,4.2,18,5,Bachelor,31,3.3
400,Sales,71206,0,5.0,28,3,Bachelor,36,4.8
401,Finance,56788,0,3.6,24,3,Bachelor,41,3.8
402,HR,71152,0,4.4,17,0,Bachelor,46,3.8
403,HR,106712,1,3.8,18,0,Bachelor,34,3.8
404,Marketing,78872,10,3.7,18,2,Bachelor,22,3.8
405,Marketing,78588,2,3.8,22,4,Bachelor,30,3.9
406,Engineering,86886,1,4.4,21,5,High School,22,3.4
407,Engineering,101261,2,4.7,28,4,Master,34,2.8
408,Marketing,86284,2,4.7,28,4,Bachelor,22,3.9
409,Finance,108251,2,3.1,22,4,PhD,28,1.5
410,Sales,110250,3,4.1,12,5,Master,34,5.0
411,Finance,73541,1,5.0,14,2,Bachelor,34,3.0
412,HR,130980,12,4.1,12,4,Bachelor,33,3.7
413,HR,76108,0,4.3,16,5,Master,23,4.2
414,Finance,112797,0,3.8,14,4,Bachelor,31,4.5
415,Engineering,90473,1,4.7,23,4,High School,27,3.9
416,HR,82435,1,4.4,19,0,Bachelor,33,4.8
417,Finance,47543,0,3.8,11,4,Bachelor,34,3.7
418,Marketing,66870,1,2.9,23,3,Bachelor,33,4.3
419,Sales,96159,0,2.9,30,2,Master,28,3.4
420,Finance,74685,0,3.8,27,4,Master,37,3.8
421,Sales,120417,1,5.0,19,3,PhD,38,4.8
422,Engineering,96653,5,3.9,16,0,Bachelor,31,4.0
423,Finance,118628,5,4.8,23,1,PhD,36,3.5
424,Engineering,89676,2,4.2,22,1,Bachelor,37,4.5
425,HR,75497,1,4.7,11,5,High School,32,5.0
426,Sales,65715,1,3.6,20,4,Bachelor,39,1.7
427,Sales,109827,7,5.0,34,3,Bachelor,27,4.2
428,HR,93850,0,4.1,26,2,PhD,35,2.6
429,Finance,92712,0,3.9,19,0,Bachelor,47,3.3
430,Marketing,75031,0,2.8,19,2,Bachelor,30,3.4
431,Marketing,49116,0,5.0,24,3,Bachelor,31,5.0
432,Sales,82967,0,3.4,15,4,Bachelor,25,2.6
433,Finance,92707,1,3.0,10,4,High School,32,2.9
434,Sales,73797,3,5.0,17,3,Bachelor,33,5.0
435,Sales,78366,1,4.6,17,4,Bachelor,22,1.5
436,Engineering,128396,2,3.7,23,4,Bachelor,23,5.0
437,Marketing,133577,3,4.0,27,0,Master,29,2.8
438,Finance,88559,2,4.1,23,0,Bachelor,22,3.9
439,Sales,88554,0,3.6,16,5,Bachelor,29,4.8
440,Finance,98089,1,2.8,13,2,Master,38,4.7
441,Finance,131688,0,4.0,15,3,Bachelor,32,5.0
442,Finance,89515,0,3.3,28,0,Bachelor,44,2.4
443,Marketing,75691,3,4.1,23,2,Master,25,2.1
444,HR,126059,2,4.0,20,3,Bachelor,22,5.0
445,Marketing,120489,0,4.1,17,2,Master,25,3.4
446,Finance,65627,0,4.0,20,0,Master,29,3.5
447,Marketing,102721,0,3.9,19,3,Bachelor,41,4.8
448,Engineering,63159,1,4.3,20,4,Bachelor,30,3.6
449,Marketing,49876,0,3.7,25,5,Bachelor,28,4.7
450,Finance,72197,5,4.5,12,3,Bachelor,36,2.6
451,Marketing,52367,0,3.9,18,0,Master,35,2.9
452,Engineering,92288,0,3.8,23,1,Bachelor,25,3.0
453,Engineering,100424,0,2.5,24,4,Bachelor,30,3.8
454,Marketing,115530,1,3.5,18,4,PhD,40,2.2
455,Finance,78495,5,4.3,15,4,Bachelor,30,3.4
456,Finance,89884,7,3.2,19,2,Bachelor,40,3.2
457,Sales,96940,2,4.3,19,0,Master,27,2.8
458,Finance,118562,4,3.2,23,1,Master,44,4.1
459,HR,113549,3,4.8,22,2,High School,50,3.2
460,Finance,101867,0,4.6,19,3,Bachelor,38,3.7
461,HR,88912,3,3.4,17,3,Master,33,3.0
462,HR,95031,6,3.6,22,3,Bachelor,40,3.8
463,Sales,75229,3,3.6,17,3,Bachelor,32,4.4
464,Sales,69955,0,4.8,17,2,Bachelor,26,3.3
465,Finance,141304,14,3.1,22,3,Master,29,3.1
466,Finance,80259,4,5.0,15,5,Master,38,2.6
